iter	RMSE
763	74300.43118
764	74288.91814
765	74255.6153
766	74210.19793
767	74179.98573
768	74143.72905
769	74120.35174
770	74105.57288
771	74090.53786
772	74062.75783
773	74008.16225
774	73978.18774
775	73953.61718
776	73932.36666
777	73911.9605
778	73904.05955
779	73880.56964
780	73865.57342
781	73837.36839
782	73814.2364
783	73800.05631
784	73770.92468
785	73751.60216
786	73725.96164
787	73706.13404
788	73685.72814
789	73675.34385
790	73654.12259
791	73636.176
792	73615.40644
793	73596.55258
794	73570.19596
795	73551.39222
796	73540.27814
797	73507.66586
798	73482.50808
799	73462.34108
800	73442.4386
801	73426.6909
802	73401.31648
803	73384.68503
804	73354.0606
805	73332.82598
806	73313.1429
807	73292.27004
808	73245.55687
809	73227.63935
810	73212.49436
811	73191.36288
812	73163.15065
813	73144.60614
814	73114.02172
815	73075.20815
816	73056.35025
817	73041.01085
818	73021.33247
819	72999.27739
820	72984.80421
821	72969.82241
822	72951.52656
823	72924.03116
824	72898.79483
825	72871.85296
826	72841.25258
827	72818.84388
828	72805.3287
829	72798.65209
830	72783.74363
831	72768.84102
832	72742.44616
833	72718.31121
834	72690.99702
835	72676.1354
836	72653.79377
837	72638.82677
838	72626.27688
839	72608.57074
840	72592.25071
841	72551.99587
842	72528.18681
843	72507.08691
844	72486.45543
845	72452.71066
846	72440.8136
847	72414.85393
848	72374.39627
849	72358.75666
850	72341.89318
851	72325.11428
852	72319.01897
853	72301.03469
854	72287.55685
855	72276.3939
856	72255.46145
857	72233.69337
858	72209.704
859	72186.49621
860	72172.1907
861	72155.72911
862	72140.2238
863	72132.30636
864	72097.11648
865	72081.89349
866	72065.72776
867	72045.46925
868	72030.38718
869	72002.60146
870	71985.18444
871	71950.16041
872	71926.08757
873	71911.96241
874	71893.02386
875	71874.61116
876	71858.6601
877	71822.92473
878	71804.88188
879	71763.64824
880	71733.31751
881	71706.24456
882	71687.63124
883	71668.61859
884	71651.07383
885	71630.95918
886	71607.62856
887	71585.54101
888	71566.51384
889	71550.35231
890	71525.53165
891	71508.0005
892	71477.25094
893	71459.32336
894	71433.83308
895	71417.18006
896	71404.66108
897	71383.1824
898	71366.38873
899	71336.26354
900	71323.05241
901	71302.21129
902	71276.83086
903	71249.97815
904	71219.57249
905	71181.38145
906	71162.8673
907	71149.52607
908	71132.22464
909	71107.41463
910	71089.59284
911	71066.23456
912	71042.8995
913	71013.1446
914	70994.60477
915	70979.79715
916	70960.66754
917	70936.93282
918	70927.06779
919	70912.35283
920	70910.13633
921	70891.11587
922	70877.42907
923	70843.9165
924	70820.17437
925	70794.25117
926	70776.23859
927	70746.11941
928	70726.79155
929	70716.62385
930	70694.02342
931	70684.86617
932	70670.25678
933	70652.68082
934	70637.80417
935	70607.81391
936	70583.49756
937	70559.7632
938	70540.65079
939	70503.35354
940	70483.05416
941	70458.5603
942	70439.79871
943	70420.34952
944	70397.38762
945	70362.72988
946	70341.39632
947	70326.89743
948	70299.42877
949	70282.70803
950	70266.6308
951	70250.15958
952	70223.47593
953	70196.50741
954	70177.35604
955	70163.33878
956	70125.51472
957	70115.64004
958	70097.69791
959	70078.8672
960	70065.4282
961	70054.83254
962	70038.67802
963	70017.91175
964	69999.93325
965	69977.37181
966	69967.3368
967	69945.55312
968	69927.83621
969	69912.12985
970	69890.76115
971	69880.6791
972	69866.42418
973	69849.58583
974	69848.69257
975	69829.896
976	69814.41422
977	69799.02624
978	69783.65472
979	69763.7387
980	69747.13904
981	69728.84204
982	69714.40887
983	69705.13537
984	69681.7677
985	69667.83615
986	69645.25113
987	69620.35963
988	69599.08213
989	69585.26728
990	69569.17939
991	69542.38134
992	69503.50536
993	69481.82208
994	69457.2946
995	69433.69989
996	69421.65252
997	69383.67447
998	69369.89875
999	69364.13894
